0.9342 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
554.8570 	DATA 	Keypress: t
556.3722 	DATA 	Keypress: t
557.8690 	DATA 	Keypress: t
559.3686 	DATA 	Keypress: t
560.8706 	DATA 	Keypress: t
562.3729 	DATA 	Keypress: t
563.8560 	DATA 	Keypress: t
565.3565 	DATA 	Keypress: t
566.8567 	DATA 	Keypress: t
568.3711 	DATA 	Keypress: t
569.8724 	DATA 	Keypress: t
571.3564 	DATA 	Keypress: t
572.8699 	DATA 	Keypress: t
574.3560 	DATA 	Keypress: t
575.8694 	DATA 	Keypress: t
577.3701 	DATA 	Keypress: t
578.8697 	DATA 	Keypress: t
580.3692 	DATA 	Keypress: t
581.8685 	DATA 	Keypress: t
583.3713 	DATA 	Keypress: t
584.8691 	DATA 	Keypress: t
586.3561 	DATA 	Keypress: t
587.8710 	DATA 	Keypress: t
589.3704 	DATA 	Keypress: t
590.8694 	DATA 	Keypress: t
592.3686 	DATA 	Keypress: t
593.8712 	DATA 	Keypress: t
595.3700 	DATA 	Keypress: t
596.8561 	DATA 	Keypress: t
598.3557 	DATA 	Keypress: t
599.8698 	DATA 	Keypress: t
601.3709 	DATA 	Keypress: t
602.8560 	DATA 	Keypress: t
604.3688 	DATA 	Keypress: t
605.8723 	DATA 	Keypress: t
607.3704 	DATA 	Keypress: t
608.8706 	DATA 	Keypress: t
610.3712 	DATA 	Keypress: t
611.8579 	DATA 	Keypress: t
613.3717 	DATA 	Keypress: t
614.8577 	DATA 	Keypress: t
616.3711 	DATA 	Keypress: t
617.8709 	DATA 	Keypress: t
619.3562 	DATA 	Keypress: t
620.8710 	DATA 	Keypress: t
622.3555 	DATA 	Keypress: t
623.8718 	DATA 	Keypress: t
625.3708 	DATA 	Keypress: t
626.8562 	DATA 	Keypress: t
628.3688 	DATA 	Keypress: t
629.8692 	DATA 	Keypress: t
631.3723 	DATA 	Keypress: t
632.8577 	DATA 	Keypress: t
634.3565 	DATA 	Keypress: t
635.8563 	DATA 	Keypress: t
637.3701 	DATA 	Keypress: t
638.8562 	DATA 	Keypress: t
640.3560 	DATA 	Keypress: t
641.8716 	DATA 	Keypress: t
643.3560 	DATA 	Keypress: t
644.8571 	DATA 	Keypress: t
646.3711 	DATA 	Keypress: t
647.8695 	DATA 	Keypress: t
649.3583 	DATA 	Keypress: t
650.8555 	DATA 	Keypress: t
652.3715 	DATA 	Keypress: t
653.8552 	DATA 	Keypress: t
655.3548 	DATA 	Keypress: t
656.8567 	DATA 	Keypress: t
658.3568 	DATA 	Keypress: t
659.8552 	DATA 	Keypress: t
661.3554 	DATA 	Keypress: t
662.8716 	DATA 	Keypress: t
664.3549 	DATA 	Keypress: t
665.8570 	DATA 	Keypress: t
667.3707 	DATA 	Keypress: t
668.8553 	DATA 	Keypress: t
670.3553 	DATA 	Keypress: t
671.8569 	DATA 	Keypress: t
673.3547 	DATA 	Keypress: t
674.8569 	DATA 	Keypress: t
676.3718 	DATA 	Keypress: t
677.8557 	DATA 	Keypress: t
679.3573 	DATA 	Keypress: t
680.8548 	DATA 	Keypress: t
682.3559 	DATA 	Keypress: t
683.8567 	DATA 	Keypress: t
685.3717 	DATA 	Keypress: t
686.8564 	DATA 	Keypress: t
688.3548 	DATA 	Keypress: t
689.8565 	DATA 	Keypress: t
691.3566 	DATA 	Keypress: t
692.8574 	DATA 	Keypress: t
694.3643 	DATA 	Keypress: t
695.8582 	DATA 	Keypress: t
697.3564 	DATA 	Keypress: t
698.8562 	DATA 	Keypress: t
700.3579 	DATA 	Keypress: t
