ParticipantNo: 12218
Time for Trials (seconds): 60
Controller type: Gamepad
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_02
!!1_dsp2_02
4.75:  169.8243,149.6859,216.0896,box 8,7
4.77:  169.7021,149.4639,216.6429,box 8,7
4.78:  169.5792,149.2505,217.19,box 8,7
4.8:  169.4507,149.0319,217.7243,box 8,7
4.82:  169.3191,148.8129,218.2587,box 8,7
4.83:  169.1886,148.6002,218.7931,box 8,7
4.85:  169.0442,148.3697,219.3274,box 8,7
4.87:  168.9207,148.1765,219.8618,box 8,7
4.88:  168.782,147.964,220.3962,box 8,7
4.9:  168.6425,147.7546,220.9305,box 8,7
4.92:  168.4984,147.5425,221.4649,box 8,7
4.93:  168.3573,147.3349,222.0119,box 8,7
4.95:  168.2151,147.1303,222.616,box 8,7
4.97:  168.0684,146.9244,223.2898,box 8,7
4.98:  167.9216,146.72,224.0333,box 8,7
5:  167.7718,146.5171,224.8212,box 8,7
5.02:  167.6181,146.315,225.6091,box 8,7
5.03:  167.4606,146.1136,226.397,box 8,7
5.05:  167.3066,145.9185,227.1848,box 8,7
5.07:  167.1783,145.6873,227.9727,box 8,7
5.08:  167.0788,145.4202,228.7606,box 8,7
5.1:  167.0103,145.111,229.5485,box 8,7
5.12:  166.9796,144.7825,230.3363,box 8,7
5.13:  166.9678,144.4283,231.1242,box 8,7
5.15:  166.9571,144.1279,231.9121,box 8,7
5.17:  166.945,143.8058,232.6683,box 8,7
5.18:  166.9266,143.476,233.3865,box 8,6
5.2:  166.895,143.1481,234.092,box 8,6
5.22:  166.8445,142.8047,234.7974,box 8,6
5.23:  166.7807,142.4701,235.5029,box 8,6
5.25:  166.7115,142.1387,236.2084,box 8,6
5.27:  166.637,141.8105,236.9139,box 8,6
5.28:  166.55,141.4778,237.6194,box 8,6
5.3:  166.4498,141.1669,238.3249,box 8,6
5.32:  166.3189,140.8953,239.0304,box 8,6
5.33:  166.1008,140.7344,239.7358,box 8,6
5.35:  165.8835,140.6111,240.4413,box 8,6
5.37:  165.6743,140.4958,241.1342,box 8,6
5.38:  165.5041,140.3339,241.7192,box 8,6
5.4:  165.3125,140.185,242.0571,box 7,6
5.42:  165.1015,140.054,242.2175,box 7,6
5.43:  164.8812,139.9384,242.3146,box 7,6
5.45:  164.6585,139.822,242.4053,box 7,6
5.47:  164.437,139.7067,242.4897,box 7,6
5.48:  164.2163,139.5921,242.5741,box 7,6
5.5:  163.9936,139.477,242.6584,box 7,6
5.52:  163.7738,139.3638,242.7491,box 7,6
5.53:  163.549,139.2486,242.8589,box 7,6
5.55:  163.3286,139.1364,243.0256,box 7,6
5.57:  163.1018,139.0222,243.2875,box 7,6
5.58:  162.8789,138.9117,243.619,box 7,6
5.6:  162.6554,138.8027,244.0076,box 7,6
5.62:  162.4266,138.6932,244.4216,box 7,6
5.63:  162.2012,138.5873,244.8419,box 7,6
5.65:  161.9766,138.4838,245.2558,box 7,6
5.67:  161.7475,138.3802,245.6697,box 7,6
5.68:  161.5224,138.2803,246.0583,box 7,6
5.7:  161.2775,138.1734,246.4089,box 7,6
5.72:  161.057,138.0861,246.7341,box 7,6
5.73:  160.8232,137.9978,247.0593,box 7,6
5.75:  160.589,137.9134,247.3782,box 7,6
5.77:  160.3498,137.834,247.7034,box 7,6
5.78:  160.1124,137.7592,248.0286,box 7,6
5.8:  159.873,137.6878,248.3538,box 7,6
5.82:  159.6277,137.6187,248.679,box 7,6
5.83:  159.3846,137.5518,249.0043,box 7,6
5.85:  159.146,137.4875,249.3295,box 7,6
5.87:  158.8995,137.4227,249.6547,box 7,6
5.88:  158.6588,137.3608,249.9799,box 7,6
5.9:  158.4152,137.2996,250.3051,box 7,6
5.92:  158.1688,137.2392,250.6176,box 7,6
5.93:  157.9253,137.1805,250.8668,box 7,6
