ParticipantNo: 99999
Time for Trials (seconds): 60
Controller type: Arrows Only
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_09
!!1_dsp2_09
3.75:  41.15117,90.16945,243,box 1,4
3.77:  41.15117,90.16945,244.5,box 1,4
3.78:  41.15117,90.16945,246,box 1,4
3.8:  41.15117,90.16945,247.5,box 1,4
3.82:  41.15117,90.16945,249,box 1,4
3.83:  41.15117,90.16945,250.5,box 1,4
3.85:  41.15117,90.16945,252,box 1,4
3.87:  41.15117,90.16945,253.5,box 1,4
3.88:  41.15117,90.16945,255,box 1,4
3.9:  41.15117,90.16945,256.5,box 1,4
3.91:  41.15117,90.16945,258,box 1,4
3.93:  41.15117,90.16945,259.5,box 1,4
3.95:  41.15117,90.16945,261,box 1,4
3.97:  41.15117,90.16945,262.5,box 1,4
3.98:  41.15117,90.16945,264,box 1,4
4:  41.15117,90.16945,265.5,box 1,4
4.01:  41.15117,90.16945,267,box 1,4
4.03:  41.15117,90.16945,268.5,box 1,4
4.05:  41.15117,90.16945,270,box 1,4
4.06:  41.15117,90.16945,271.5,box 1,4
4.08:  41.15117,90.16945,273,box 1,4
4.1:  41.15117,90.16945,274.5,box 1,4
4.12:  41.15117,90.16945,276,box 1,4
4.13:  41.15117,90.16945,277.5,box 1,4
4.15:  41.15117,90.16945,279,box 1,4
4.17:  41.15117,90.16945,280.5,box 1,4
4.18:  41.15117,90.16945,282,box 1,4
4.2:  41.15117,90.16945,283.5,box 1,4
4.22:  41.15117,90.16945,285,box 1,4
4.23:  41.15117,90.16945,286.5,box 1,4
4.25:  41.15117,90.16945,288,box 1,4
4.26:  41.15117,90.16945,289.5,box 1,4
4.28:  41.15117,90.16945,291,box 1,4
4.3:  41.15117,90.16945,292.5,box 1,4
4.32:  41.15117,90.16945,294,box 1,4
4.33:  41.15117,90.16945,295.5,box 1,4
4.35:  41.15117,90.16945,297,box 1,4
4.36:  41.15117,90.16945,298.5,box 1,4
4.38:  41.15117,90.16945,300,box 1,4
4.4:  41.15117,90.16945,301.5,box 1,4
4.41:  41.15117,90.16945,303,box 1,4
4.43:  41.15117,90.16945,304.5,box 1,4
4.45:  41.15117,90.16945,306,box 1,4
4.47:  41.15117,90.16945,307.5,box 1,4
4.48:  41.15117,90.16945,309,box 1,4
4.5:  41.15117,90.16945,310.5,box 1,4
4.51:  41.15117,90.16945,312,box 1,4
4.53:  41.15117,90.16945,313.5,box 1,4
4.55:  41.15117,90.16945,315,box 1,4
