ParticipantNo: 21010
Time for Trials (seconds): 60
Controller type: Arrows Only
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_11
!!1_dsp2_11
5.87:  72.26251,52.27872,180.0569,box 3,2
5.88:  72.26251,52.27872,181.5569,box 3,2
5.9:  72.26251,52.27872,183.0569,box 3,2
5.92:  72.26251,52.27872,184.5569,box 3,2
5.93:  72.26251,52.27872,186.0569,box 3,2
5.95:  72.26251,52.27872,187.5569,box 3,2
5.97:  72.26251,52.27872,189.0569,box 3,2
5.98:  72.26251,52.27872,190.5569,box 3,2
6:  72.26251,52.27872,192.0569,box 3,2
6.02:  72.26251,52.27872,193.5569,box 3,2
6.03:  72.26251,52.27872,195.0569,box 3,2
6.05:  72.26251,52.27872,196.5569,box 3,2
6.07:  72.26251,52.27872,198.0569,box 3,2
6.08:  72.26251,52.27872,199.5569,box 3,2
6.1:  72.26251,52.27872,201.0569,box 3,2
6.12:  72.26251,52.27872,202.5569,box 3,2
6.13:  72.26251,52.27872,204.0569,box 3,2
6.15:  72.26251,52.27872,205.5569,box 3,2
6.17:  72.26251,52.27872,207.0569,box 3,2
6.18:  72.26251,52.27872,208.5569,box 3,2
6.2:  72.26251,52.27872,210.0569,box 3,2
6.22:  72.26251,52.27872,211.5569,box 3,2
6.23:  72.26251,52.27872,213.0569,box 3,2
6.25:  72.26251,52.27872,214.5569,box 3,2
6.27:  72.26251,52.27872,216.0569,box 3,2
6.28:  72.26251,52.27872,217.5569,box 3,2
6.3:  72.26251,52.27872,219.0569,box 3,2
6.32:  72.26251,52.27872,220.5569,box 3,2
6.33:  72.26251,52.27872,222.0569,box 3,2
6.35:  72.26251,52.27872,223.5569,box 3,2
6.37:  72.26251,52.27872,225.0569,box 3,2
6.38:  72.26251,52.27872,226.5569,box 3,2
6.4:  72.26251,52.27872,228.0569,box 3,2
6.42:  72.26251,52.27872,229.5569,box 3,2
6.43:  72.26251,52.27872,231.0568,box 3,2
6.45:  72.26251,52.27872,232.5569,box 3,2
6.47:  72.26251,52.27872,234.0569,box 3,2
6.48:  72.26251,52.27872,235.5569,box 3,2
6.5:  72.26251,52.27872,236.9066,box 3,2
6.52:  72.26251,52.27872,238.1086,box 3,2
6.53:  72.26251,52.27872,239.159,box 3,2
6.55:  72.26251,52.27872,240.0537,box 3,2
6.57:  72.26251,52.27872,240.8004,box 3,2
6.58:  72.26251,52.27872,241.3972,box 3,2
6.6:  72.26251,52.27872,241.8467,box 3,2
6.62:  72.26251,52.27872,242.1443,box 3,2
6.63:  72.26251,52.27872,242.2934,box 3,2
6.65:  72.26251,52.27872,242.2934,box 3,2
6.67:  72.26251,52.27872,242.2934,box 3,2
6.68:  72.26251,52.27872,242.2934,box 3,2
6.7:  72.26251,52.27872,242.2934,box 3,2
6.72:  72.26251,52.27872,242.2934,box 3,2
6.73:  72.26251,52.27872,242.2934,box 3,2
6.75:  72.26251,52.27872,242.2934,box 3,2
6.77:  72.26251,52.27872,242.2934,box 3,2
6.78:  72.26251,52.27872,242.2934,box 3,2
6.8:  72.26251,52.27872,242.2934,box 3,2
6.82:  72.26251,52.27872,242.2934,box 3,2
6.83:  72.26251,52.27872,242.2934,box 3,2
6.85:  72.26251,52.27872,242.2934,box 3,2
6.87:  72.26251,52.27872,242.2934,box 3,2
6.88:  72.26251,52.27872,242.2934,box 3,2
6.9:  72.26251,52.27872,242.2934,box 3,2
6.92:  72.26251,52.27872,242.2934,box 3,2
6.93:  72.26251,52.27872,242.2934,box 3,2
6.95:  72.26251,52.27872,242.2934,box 3,2
6.97:  72.26251,52.27872,242.2934,box 3,2
6.98:  72.26251,52.27872,242.2934,box 3,2
7:  72.26251,52.27872,242.2934,box 3,2
7.02:  72.26251,52.27872,242.2934,box 3,2
7.03:  72.26251,52.27872,242.2934,box 3,2
7.05:  72.26251,52.27872,242.2934,box 3,2
7.07:  72.26251,52.27872,242.2934,box 3,2
7.08:  72.26251,52.27872,242.2934,box 3,2
7.1:  72.26251,52.27872,242.2934,box 3,2
7.12:  72.26251,52.27872,242.2934,box 3,2
7.13:  72.26251,52.27872,242.2934,box 3,2
7.15:  72.26251,52.27872,242.2934,box 3,2
7.17:  72.26251,52.27872,242.2934,box 3,2
7.18:  72.26251,52.27872,242.2934,box 3,2
7.2:  72.26251,52.27872,242.2934,box 3,2
7.22:  72.26251,52.27872,242.2934,box 3,2
7.23:  72.26251,52.27872,242.2934,box 3,2
7.25:  72.26251,52.27872,242.2934,box 3,2
7.27:  72.26251,52.27872,242.2934,box 3,2
7.28:  72.26251,52.27872,242.2934,box 3,2
7.3:  72.26251,52.27872,242.2934,box 3,2
7.32:  72.26251,52.27872,242.2934,box 3,2
7.33:  72.26251,52.27872,242.2934,box 3,2
7.35:  72.26251,52.27872,242.2934,box 3,2
7.37:  72.26251,52.27872,242.2934,box 3,2
7.38:  72.26251,52.27872,242.2934,box 3,2
7.4:  72.26251,52.27872,242.2934,box 3,2
7.42:  72.26251,52.27872,242.2934,box 3,2
7.43:  72.26251,52.27872,242.2934,box 3,2
7.45:  72.26251,52.27872,242.2934,box 3,2
7.47:  72.26251,52.27872,242.2934,box 3,2
7.48:  72.26251,52.27872,242.2934,box 3,2
7.5:  72.26251,52.27872,242.2934,box 3,2
7.52:  72.26251,52.27872,242.2934,box 3,2
7.53:  72.26251,52.27872,242.2934,box 3,2
7.55:  72.26251,52.27872,242.2934,box 3,2
7.57:  72.26251,52.27872,242.2934,box 3,2
7.58:  72.26251,52.27872,242.2934,box 3,2
7.6:  72.26251,52.27872,242.2934,box 3,2
7.62:  72.26251,52.27872,242.2934,box 3,2
7.63:  72.26251,52.27872,242.2934,box 3,2
7.65:  72.26251,52.27872,242.2934,box 3,2
7.67:  72.26251,52.27872,242.2934,box 3,2
7.68:  72.26251,52.27872,242.2934,box 3,2
7.7:  72.26251,52.27872,242.2934,box 3,2
7.72:  72.26251,52.27872,242.2934,box 3,2
7.73:  72.26251,52.27872,242.2934,box 3,2
7.75:  72.26251,52.27872,242.2934,box 3,2
7.77:  72.26251,52.27872,242.2934,box 3,2
7.78:  72.26251,52.27872,242.2934,box 3,2
7.8:  72.26251,52.27872,242.2934,box 3,2
7.82:  72.26251,52.27872,242.2934,box 3,2
7.83:  72.26251,52.27872,242.2934,box 3,2
7.85:  72.26251,52.27872,242.2934,box 3,2
7.87:  72.26251,52.27872,242.2934,box 3,2
7.88:  72.26251,52.27872,242.2934,box 3,2
7.9:  72.26251,52.27872,242.2934,box 3,2
7.92:  72.26251,52.27872,242.2934,box 3,2
7.93:  72.26251,52.27872,242.2934,box 3,2
7.95:  72.26251,52.27872,242.2934,box 3,2
7.97:  72.26251,52.27872,242.2934,box 3,2
7.98:  72.26251,52.27872,242.2934,box 3,2
8:  72.26251,52.27872,242.2934,box 3,2
8.02:  72.26251,52.27872,242.2934,box 3,2
8.03:  72.26251,52.27872,242.2934,box 3,2
8.05:  72.26251,52.27872,242.2934,box 3,2
8.07:  72.26251,52.27872,242.2934,box 3,2
8.08:  72.26251,52.27872,242.2934,box 3,2
8.1:  72.26251,52.27872,242.2934,box 3,2
8.12:  72.26251,52.27872,242.2934,box 3,2
8.13:  72.26251,52.27872,242.2934,box 3,2
8.15:  72.26251,52.27872,242.2934,box 3,2
8.17:  72.26251,52.27872,242.2934,box 3,2
8.18:  72.26251,52.27872,242.2934,box 3,2
