ParticipantNo: 11014
Time for Trials (seconds): 60
Controller type: Keyboard and Mouse
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_05
!!1_dsp1_05
6.35:  147.9763,5.438656,261.9001,box 10,3
6.37:  147.7158,5.401569,261.9001,box 10,3
6.38:  147.4813,5.368204,261.9001,box 10,3
6.4:  147.2222,5.331321,261.9001,box 10,3
6.42:  146.9831,5.297301,261.9001,box 10,3
6.43:  146.7361,5.262149,261.9001,box 10,3
6.45:  146.4918,5.227375,261.9001,box 10,3
6.47:  146.2433,5.192006,261.9001,box 10,3
6.48:  145.9821,5.154841,261.9001,box 10,3
6.5:  145.7457,5.121185,261.9001,box 10,3
6.52:  145.4877,5.08447,261.9001,box 10,3
6.53:  145.2551,5.051369,261.9001,box 10,4
6.55:  145.0026,5.015431,261.9001,box 10,4
6.57:  144.7601,4.980917,261.9001,box 10,4
6.58:  144.4986,4.943698,261.9001,box 10,4
6.6:  144.2518,4.908574,261.9001,box 10,4
6.62:  144.0139,4.874717,261.9001,box 10,4
6.63:  143.7663,4.839483,261.9001,box 10,4
6.65:  143.5058,4.802414,261.9001,box 10,4
6.67:  143.2658,4.768254,261.9001,box 10,4
6.68:  143.0235,4.73377,261.9001,box 10,4
6.7:  142.7648,4.711277,261.9001,box 10,4
6.72:  142.5269,4.711277,261.9001,box 10,4
6.73:  142.278,4.711277,261.9001,box 10,4
6.75:  142.025,4.711277,261.9001,box 10,4
6.77:  141.7783,4.711277,261.9001,box 10,4
6.78:  141.54,4.711277,261.9001,box 10,4
6.8:  141.2906,4.711277,261.9001,box 10,4
6.82:  141.0437,4.711277,261.9001,box 10,4
6.83:  140.7863,4.711277,261.9001,box 10,4
6.85:  140.5493,4.711277,261.9001,box 10,4
6.87:  140.2908,4.711277,261.9001,box 10,4
6.88:  140.0553,4.711277,261.9001,box 10,4
6.9:  139.807,4.711277,261.9001,box 10,4
6.92:  139.5586,4.711277,261.9001,box 10,4
6.93:  139.3109,4.711277,261.9001,box 10,4
6.95:  139.0621,4.711277,261.9001,box 10,4
6.97:  138.8175,4.711277,261.9001,box 10,4
6.98:  138.568,4.711277,261.9001,box 10,4
7:  138.3219,4.711277,261.9001,box 10,4
7.02:  138.075,4.711277,261.9001,box 10,4
7.03:  137.8244,4.711277,261.9001,box 10,4
7.05:  137.5815,4.711277,261.9001,box 10,4
7.07:  137.3244,4.711277,261.9001,box 10,4
7.08:  137.0726,4.711277,261.9001,box 10,4
7.1:  136.8252,4.711277,261.9001,box 10,4
7.12:  136.5821,4.711277,261.9001,box 10,4
7.13:  136.3428,4.711276,261.9001,box 10,4
7.15:  136.0829,4.711276,261.9001,box 10,4
7.17:  135.8443,4.711276,261.9001,box 10,4
7.18:  135.598,4.711276,261.9001,box 10,4
7.2:  135.353,4.711276,261.9001,box 10,4
7.22:  135.1073,4.711277,261.9001,box 10,4
7.23:  134.8568,4.711277,261.9001,box 10,4
7.25:  134.6013,4.711276,261.9001,box 10,4
7.27:  134.3615,4.711276,261.9001,box 10,4
7.28:  134.1149,4.711276,261.9001,box 10,4
7.3:  133.853,4.711276,261.9001,box 10,4
7.32:  133.608,4.711276,261.9001,box 10,4
7.33:  133.3636,4.711276,261.9001,box 10,4
7.35:  133.112,4.711276,261.9001,box 10,4
7.37:  132.8688,4.711276,261.9001,box 10,4
7.38:  132.6281,4.711276,261.9001,box 10,4
7.4:  132.3812,4.711276,261.9001,box 10,4
7.42:  132.1358,4.711276,261.9001,box 10,4
7.43:  131.8849,4.711276,261.9001,box 10,4
7.45:  131.64,4.711276,261.9001,box 10,4
7.47:  131.3828,4.711276,261.9001,box 10,4
7.48:  131.143,4.711276,261.9001,box 10,4
7.5:  130.8963,4.711276,261.9001,box 10,4
7.52:  130.6377,4.711276,261.9001,box 10,4
7.53:  130.3943,4.711276,261.9001,box 10,4
7.55:  130.1394,4.711276,261.9001,box 10,4
7.57:  129.899,4.711276,261.9001,box 10,4
7.58:  129.6608,4.711276,261.9001,box 10,4
7.6:  129.3958,4.711276,261.9001,box 10,4
7.62:  129.1559,4.711276,261.9001,box 10,4
7.63:  128.9106,4.711276,261.9001,box 10,4
7.65:  128.671,4.711276,261.9001,box 10,4
7.67:  128.4194,4.711275,261.9001,box 10,4
7.68:  128.1742,4.711275,261.9001,box 10,4
7.7:  127.9279,4.711275,261.9001,box 10,4
7.72:  127.6794,4.711275,261.9001,box 10,4
7.73:  127.4202,4.711275,261.9001,box 10,4
7.75:  127.18,4.711276,261.9001,box 10,4
7.77:  126.9358,4.711276,261.9001,box 10,4
7.78:  126.6878,4.711275,261.9001,box 10,4
7.8:  126.4406,4.711275,261.9001,box 10,4
7.82:  126.1928,4.711275,261.9001,box 10,4
7.83:  125.9464,4.711275,261.9001,box 10,4
7.85:  125.6886,4.711275,261.9001,box 10,4
7.87:  125.4489,4.711275,261.9001,box 10,4
7.88:  125.2045,4.711275,261.9001,box 10,4
7.9:  124.955,4.711275,261.9001,box 10,5
7.92:  124.7086,4.711275,261.9001,box 10,5
7.93:  124.4624,4.711275,261.9001,box 10,5
7.95:  124.2011,4.711275,261.9001,box 10,5
7.97:  123.9556,4.711275,261.9001,box 10,5
7.98:  123.7141,4.711275,261.9001,box 10,5
8:  123.4686,4.711275,261.9001,box 10,5
8.02:  123.2144,4.711275,261.9001,box 10,5
8.03:  122.9753,4.711275,261.9001,box 10,5
8.05:  122.7151,4.711275,261.9001,box 10,5
8.07:  122.4727,4.711275,261.9001,box 10,5
8.08:  122.2355,4.711275,261.9001,box 10,5
8.1:  121.9755,4.711275,261.9001,box 10,5
8.12:  121.7359,4.711275,261.9001,box 10,5
8.13:  121.4865,4.711275,261.9001,box 10,5
8.15:  121.2444,4.711275,261.9001,box 10,5
8.17:  120.9947,4.711275,261.9001,box 10,5
8.18:  120.7476,4.711275,261.9001,box 10,5
8.2:  120.5013,4.711275,261.9001,box 10,5
8.22:  120.2467,4.711275,261.9001,box 10,5
8.23:  120.0062,4.711275,261.9001,box 10,5
8.25:  119.7509,4.711275,261.9001,box 10,5
8.27:  119.4986,4.711275,261.9001,box 10,5
8.28:  119.2545,4.711275,261.9001,box 10,5
8.3:  119.0048,4.711139,262.0001,box 10,5
8.32:  118.7621,4.710863,262.2001,box 10,5
8.33:  118.5212,4.710724,262.3,box 10,5
8.35:  118.2716,4.710448,262.5001,box 10,5
8.37:  118.0105,4.709755,263.0001,box 10,5
8.38:  117.7566,4.707812,264.4001,box 10,5
8.4:  117.5253,4.706421,265.4001,box 10,5
8.42:  117.2793,4.70475,266.6,box 10,5
8.43:  117.0271,4.703634,267.4001,box 10,5
8.45:  116.7749,4.702658,268.1001,box 10,5
8.47:  116.5281,4.70168,268.8,box 10,5
8.48:  116.2534,4.700424,269.7001,box 10,5
8.5:  116.0261,4.701218,270.2001,box 10,5
8.52:  115.7768,4.703829,270.6001,box 10,5
8.53:  115.5277,4.707742,270.9001,box 10,5
8.55:  115.279,4.712083,271.0001,box 10,5
8.57:  115.0276,4.716912,271.1001,box 10,5
8.58:  114.765,4.721954,271.1001,box 10,5
8.6:  114.5143,4.727644,271.3,box 10,5
8.62:  114.2537,4.734013,271.4001,box 10,5
8.63:  114.0267,4.740353,271.6001,box 10,5
8.65:  113.7767,4.749084,272.0001,box 10,5
8.67:  113.5279,4.759945,272.5001,box 10,5
8.68:  113.2764,4.773126,273.0001,box 10,5
8.7:  113.0272,4.789678,273.8,box 10,5
8.72:  112.7828,4.808057,274.3,box 10,5
8.73:  112.5294,4.828894,274.7001,box 10,5
8.75:  112.2827,4.851781,275.3,box 10,5
8.77:  112.0183,4.879096,275.9001,box 10,5
8.78:  111.7845,4.906154,276.6001,box 10,5
8.8:  111.5234,4.939602,277.3,box 10,5
8.82:  111.2819,4.975259,278.4001,box 10,5
8.83:  111.0259,5.016724,279.2001,box 10,5
8.85:  110.7951,5.057415,280.0001,box 10,5
8.87:  110.5522,5.105069,281.1,box 10,5
8.88:  110.306,5.160122,282.6,box 10,5
8.9:  110.0525,5.225204,284.4001,box 10,5
8.92:  109.8094,5.295819,286.2,box 10,5
8.93:  109.5852,5.375217,289.5001,box 10,5
8.95:  109.3518,5.469039,291.9001,box 10,5
8.97:  109.1274,5.568936,294.0001,box 10,5
8.98:  108.9004,5.68166,296.4001,box 10,5
9:  108.6622,5.812051,298.7,box 10,5
9.02:  108.4645,5.928482,300.5001,box 10,5
9.03:  108.2543,6.070852,304.1,box 10,5
9.05:  108.0526,6.215204,305.6001,box 10,5
9.07:  107.8288,6.384503,307.1001,box 10,5
9.08:  107.6596,6.520566,308.8,box 10,5
9.1:  107.442,6.708379,310.8,box 10,5
9.12:  107.2475,6.883471,312.0001,box 10,5
