ParticipantNo: 11007
Time for Trials (seconds): 60
Controller type: Keyboard and Mouse
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_14
!!1_dsp1_14
5.52:  52.34334,53.42761,357.2,box 8,8
5.53:  52.40457,53.67637,357.1,box 8,8
5.55:  52.45444,53.93216,357,box 8,8
5.57:  52.49022,54.18255,356.8,box 8,8
5.58:  52.51204,54.43456,356.4,box 8,8
5.6:  52.54465,54.69315,355.8,box 8,8
5.62:  52.58445,54.94487,354.9,box 8,8
5.63:  52.63107,55.20257,353.5,box 8,8
5.65:  52.69176,55.5006,351.8,box 8,8
5.67:  52.73853,55.7255,349.9,box 8,8
5.68:  52.79493,55.98992,347.8,box 8,8
5.7:  52.86066,56.29336,345.4,box 8,8
5.72:  52.91254,56.54324,342.9,box 8,8
5.73:  52.97136,56.82796,340.7,box 8,8
5.75:  53.03444,57.15385,337.7,box 8,8
5.77:  53.08977,57.4188,336.8,box 8,8
5.78:  53.15155,57.72113,334.7,box 8,8
5.8:  53.23014,58.0764,333.6,box 8,8
5.82:  53.29558,58.35822,332.7,box 8,8
5.83:  53.37684,58.68434,332,box 8,8
5.85:  53.46572,59.01751,331.4,box 8,8
5.87:  53.57464,59.39737,331,box 8,8
5.88:  53.65885,59.69693,330.7,box 8,8
5.9:  53.75356,60.03846,330.5,box 8,8
5.92:  53.84827,60.37997,330.5,box 8,8
5.93:  53.94242,60.71949,330.5,box 8,8
5.95:  54.03677,61.05968,330.5,box 7,8
5.97:  54.13028,61.39689,330.5,box 7,8
5.98:  54.22416,61.7354,330.5,box 7,8
6:  54.32018,62.084,330.4,box 7,8
6.02:  54.41443,62.42384,330.5,box 7,8
6.03:  54.51098,62.76503,330.8,box 7,8
6.05:  54.61718,63.09254,331.5,box 7,8
6.07:  54.72558,63.40302,332.7,box 7,8
6.08:  54.83774,63.69019,334.7,box 7,8
6.1:  54.95379,63.95667,336.8,box 7,8
6.12:  55.08971,64.23338,339.3,box 7,8
6.13:  55.20012,64.42796,342.6,box 7,8
6.15:  55.33257,64.62568,346.7,box 7,8
6.17:  55.47,64.79608,351.6,box 7,8
6.18:  55.61839,64.93698,359,box 7,8
6.2:  55.76748,65.05252,4.500008,box 7,8
6.22:  55.90929,65.14179,9.80001,box 7,8
6.23:  56.04257,65.20982,14.60001,box 7,8
6.25:  56.18346,65.26646,19.20001,box 7,8
6.27:  56.27521,65.29575,22.90001,box 7,8
6.29:  56.38251,65.32219,25.80001,box 7,8
6.3:  56.44811,65.33405,28.40001,box 7,8
6.32:  56.50937,65.3407,30.70001,box 7,8
6.33:  56.55452,65.34142,32.80001,box 7,8
6.35:  56.5828,65.33652,35.60001,box 7,8
6.37:  56.59197,65.32952,37.40001,box 7,8
6.38:  56.59197,65.32952,39.40001,box 7,8
6.4:  56.60014,65.33875,41.50001,box 7,8
6.42:  56.61742,65.3569,43.60001,box 7,8
6.43:  56.64412,65.38295,45.70001,box 7,8
6.45:  56.68066,65.4162,47.70001,box 7,8
6.47:  56.73296,65.46118,49.30001,box 7,8
6.48:  56.7851,65.50386,50.7,box 7,8
6.5:  56.85413,65.55818,51.80001,box 7,8
6.52:  56.93368,65.61879,52.70001,box 7,8
6.53:  57.02413,65.68571,53.50001,box 7,8
6.55:  57.12529,65.75841,54.3,box 7,8
6.57:  57.23613,65.83572,55.10001,box 7,8
6.58:  57.36256,65.91941,56.50001,box 7,8
6.6:  57.49918,66.00645,57.5,box 7,8
6.62:  57.64935,66.09776,58.7,box 7,8
6.63:  57.81046,66.18965,60.30001,box 7,8
6.65:  57.98839,66.28346,62.2,box 7,8
6.67:  58.18148,66.37597,64.40001,box 7,8
6.68:  58.38623,66.46415,66.70001,box 7,8
6.7:  58.60898,66.54877,69.20001,box 7,8
6.72:  58.84517,66.62825,71.40002,box 7,8
6.73:  59.08419,66.69905,73.50002,box 7,8
6.75:  59.32606,66.7616,75.50002,box 7,8
6.77:  59.5723,66.818,77.10001,box 7,8
6.78:  59.8226,66.86847,78.60001,box 7,8
6.8:  60.10276,66.92242,79.10001,box 7,8
6.82:  60.33989,66.96722,79.30001,box 7,8
6.83:  60.55576,67.00802,79.30001,box 7,8
6.85:  60.79944,67.05406,79.30001,box 7,8
6.87:  61.04475,67.10041,79.30001,box 7,8
6.88:  61.29612,67.14745,79.40002,box 7,8
6.9:  61.54019,67.19269,79.50002,box 7,8
6.92:  61.78732,67.23804,79.60002,box 7,8
6.94:  62.05441,67.28706,79.60002,box 7,8
6.95:  62.29895,67.33195,79.60002,box 7,8
6.97:  62.52182,67.36298,79.50003,box 7,7
6.98:  62.7736,67.39233,77.90004,box 7,7
7:  63.02295,67.41743,76.00004,box 7,7
7.02:  63.27712,67.44215,73.40003,box 7,7
7.03:  63.52932,67.46806,70.40003,box 7,7
7.05:  63.78896,67.49713,67.20004,box 7,7
7.07:  64.0765,67.52965,64.30003,box 7,7
7.08:  64.31958,67.55846,61.70004,box 7,7
7.1:  64.58998,67.58802,59.80003,box 7,7
7.12:  64.86694,67.61321,58.50004,box 7,7
7.13:  65.15246,67.63132,57.80003,box 7,7
7.15:  65.44321,67.6408,57.40004,box 7,7
7.17:  65.74008,67.63976,57.40004,box 7,7
7.18:  66.04269,67.6283,57.40004,box 7,7
7.2:  66.35368,67.60624,57.40004,box 7,7
