ParticipantNo: 11016
Time for Trials (seconds): 60
Controller type: Keyboard and Mouse
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_21
!!1_dsp1_21
7.48:  14.50307,118.0664,0.1000098,box 5,10
7.5:  14.40876,118.3032,0.1000098,box 5,10
7.52:  14.32299,118.5487,0.1000098,box 5,10
7.53:  14.24115,118.8274,0.1000098,box 5,10
7.55:  14.18597,119.0485,0.1000098,box 5,10
7.57:  14.1314,119.3312,0.1000098,box 5,10
7.58:  14.09869,119.5504,0.1000098,box 5,10
7.6:  14.07373,119.8033,0.1000098,box 5,10
7.62:  14.06618,120.0838,1.00001,box 5,10
7.63:  14.07946,120.314,3.30001,box 5,10
7.65:  14.11992,120.5499,7.00001,box 5,10
7.67:  14.19488,120.7734,12.70001,box 4,10
7.68:  14.3149,120.9947,18.80001,box 4,10
7.7:  14.4481,121.1556,26.30001,box 4,10
7.72:  14.60152,121.282,33.30001,box 4,10
7.74:  14.81811,121.3684,45.80001,box 4,10
7.75:  15.00691,121.3981,53.90001,box 4,10
7.77:  15.16984,121.3885,61.90001,box 4,10
7.78:  15.34974,121.3397,68.40001,box 4,10
7.8:  15.51468,121.2567,74.60001,box 4,10
7.82:  15.66248,121.1449,79.50001,box 4,10
7.83:  15.79054,121.0084,83.80001,box 4,10
7.85:  15.92249,120.8537,87.20001,box 4,10
7.87:  16.083,120.6449,90.80001,box 4,10
7.88:  16.20377,120.4837,91.90001,box 4,10
7.9:  16.38525,120.2398,92.60001,box 4,10
7.92:  16.55149,120.016,93.00002,box 4,10
7.93:  16.69935,119.8132,93.80001,box 4,10
7.95:  16.87664,119.568,94.30001,box 4,10
7.97:  17.06802,119.326,95.10001,box 4,10
7.98:  17.27232,119.0951,95.20001,box 4,10
8:  17.48838,118.877,95.20001,box 4,10
8.02:  17.72178,118.6667,95.20001,box 4,10
8.03:  17.95642,118.4696,95.10001,box 4,10
8.05:  18.18844,118.2878,95.10001,box 4,10
8.07:  18.42582,118.1153,95.10001,box 4,10
8.08:  18.66417,117.9515,95.80001,box 4,10
8.1:  18.90352,117.7954,96.7,box 4,10
8.12:  19.13429,117.6469,98.7,box 4,10
8.13:  19.35579,117.4994,102,box 4,10
8.15:  19.59314,117.303,110.9,box 4,10
8.17:  19.75685,117.1629,114,box 4,10
8.19:  19.9589,116.9534,122.5,box 4,10
8.2:  20.11224,116.7487,127,box 4,10
8.22:  20.22902,116.5509,131,box 4,10
8.24:  20.35638,116.2779,133.7,box 4,10
8.25:  20.443,116.0541,135.4,box 4,10
8.27:  20.53674,115.7571,136.4,box 4,10
